@relation pacman-weka.filters.unsupervised.instance.RemoveWithValues-S4.0-C23-Lfirst-last-V-weka.filters.unsupervised.instance.RemoveWithValues-S4.0-C23-Lfirst-last-V-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C23-Llast-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0

@attribute pos_x numeric
@attribute pos_y numeric
@attribute ghost1_alive {0,1}
@attribute ghost2_alive {0,1}
@attribute ghost3_alive {0,1}
@attribute ghost4_alive {0,1}
@attribute ghost1_pos_x numeric
@attribute ghost1_pos_y numeric
@attribute ghost2_pos_x numeric
@attribute ghost2_pos_y numeric
@attribute ghost3_pos_x numeric
@attribute ghost3_pos_y numeric
@attribute ghost4_pos_x numeric
@attribute ghost4_pos_y numeric
@attribute distance_to_ghost1 numeric
@attribute distance_to_ghost2 numeric
@attribute distance_to_ghost3 numeric
@attribute distance_to_ghost4 numeric
@attribute legal_north {0,1}
@attribute legal_south {0,1}
@attribute legal_east {0,1}
@attribute legal_west {0,1}
@attribute chosen_move {1,2,3,4}

@data
0.058824,0.25,0,0,0,1,0,0,0.2,0,0.266667,0,0.692308,0.3,0,0,0,0.652174,0,1,1,1,1
0.411765,0.25,0,0,0,1,0,0,0.2,0,0.266667,0,0.846154,0.3,0,0,0,0.478261,1,1,1,1,1
0.764706,0.75,1,0,0,1,0.214286,0.2,0.2,0,0.266667,0,0.923077,0.8,0.75,0,0,0.217391,1,1,1,1,1
0.647059,0.75,1,0,0,1,0.071429,0.2,0.2,0,0.266667,0,0.692308,0.8,0.75,0,0,0.173913,0,1,1,1,1
0.235294,1,1,1,0,1,0.357143,0.2,0.3,1,0.266667,0,0.846154,0.4,0.625,0.272727,0,0.826087,0,1,1,1,1
0.529412,1,1,0,1,1,0.571429,0.5,0.2,0,0.666667,1,0.692308,0.8,0.333333,0,0.136364,0.347826,0,1,1,1,1
0.235294,0.875,1,1,1,1,0.571429,0.2,0.5,0.8,0.533333,0.7,0.692308,0.3,0.541667,0.363636,0.363636,0.73913,1,1,1,0,1
0.235294,0.25,1,0,0,1,0.071429,0.3,0.2,0,0.266667,0,0.769231,0.3,0.25,0,0,0.565217,0,1,1,1,1
0.705882,0.125,0,0,0,1,0,0,0.2,0,0.266667,0,0.769231,0.3,0,0,0,0.173913,1,1,1,0,1
0.705882,0.25,1,0,0,0,0.214286,0.2,0.2,0,0.266667,0,0.153846,0,0.541667,0,0,0,0,1,1,1,1
1,0.5,0,0,1,0,0,0,0.2,0,0.133333,1,0.153846,0,0,0,0.954545,0,1,1,0,1,1
0.411765,0.75,1,0,0,1,0.285714,0.3,0.2,0,0.266667,0,0.307692,0.8,0.416667,0,0,0.130435,0,1,1,1,1
0.235294,0.625,1,1,1,1,0.571429,0.7,0.5,0.8,0.533333,0.8,0.615385,0.4,0.25,0.363636,0.318182,0.565217,1,1,1,1,1
0,1,1,1,1,1,0.285714,0.4,0.6,0.7,0.4,1,0.692308,0.5,0.5,1,0.363636,0.869565,0,1,1,0,1
0.294118,1,1,0,1,1,0.142857,0.2,0.2,0,0.666667,1,0.615385,0.3,0.708333,0,0.318182,0.695652,0,1,1,1,1
0.294118,0.25,1,0,0,1,0.214286,0.3,0.2,0,0.266667,0,1,0.3,0.208333,0,0,0.652174,0,1,1,1,1
0.352941,0.625,0,0,1,1,0,0,0.2,0,0.666667,0.9,0.769231,0.3,0,0,0.363636,0.608696,1,1,1,1,1
0,1,1,1,1,1,0.357143,0.4,0.6,0.7,0.4,1,0.692308,0.4,0.541667,1,0.363636,0.913043,0,1,1,0,1
0.411765,0.75,0,0,0,1,0,0,0.2,0,0.266667,0,0.692308,1,0,0,0,0.434783,0,1,1,1,1
0.529412,0.5,1,0,0,0,0.071429,0.6,0.2,0,0.266667,0,0.153846,0,0.416667,0,0,0,1,1,0,1,1
0.235294,1,1,0,0,1,0.5,0.5,0.2,0,0.266667,0,0.692308,0.6,0.416667,0,0,0.652174,0,1,1,1,1
0.529412,0.25,0,0,0,1,0,0,0.2,0,0.266667,0,0.846154,0.4,0,0,0,0.347826,1,1,1,1,1
0.882353,0.25,0,0,1,1,0,0,0.2,0,0.2,1,1,0.5,0,0,0.909091,0.217391,0,1,1,1,1
0.470588,0.75,1,0,0,1,0.714286,0.2,0.2,0,0.266667,0,0.846154,0.4,0.416667,0,0,0.565217,0,1,1,1,1
0.235294,1,1,1,1,1,0.214286,0.2,0.3,1,0.533333,0.7,0.923077,0.6,0.708333,0.272727,0.409091,0.782609,0,1,1,1,1
0,1,0,0,1,0,0,0,0.2,0,0.266667,1,0.153846,0,0,0,0.272727,0,0,1,1,0,1
0.411765,0.5,0,0,0,1,0,0,0.2,0,0.266667,0,0.846154,1,0,0,0,0.608696,1,1,1,1,1
0.235294,0.875,1,1,1,1,0.142857,0.2,0.3,1,0.6,0.7,0.923077,0.7,0.625,0.363636,0.409091,0.695652,1,1,1,0,1
0,1,1,1,1,1,0.285714,0.3,0.4,0.9,0.333333,1,0.692308,0.5,0.541667,0.636364,0.318182,0.869565,0,1,1,0,1
0.294118,1,1,1,0,1,0.285714,0.3,0.2,1,0.266667,0,0.692308,0.3,0.583333,0.454545,0,0.73913,0,1,1,1,1
0.588235,0.25,0,0,1,1,0,0,0.2,0,0.666667,1,0.769231,0.2,0,0,0.454545,0.347826,0,1,1,1,1
0.705882,0.25,1,0,0,0,0.428571,0.2,0.2,0,0.266667,0,0.153846,0,0.416667,0,0,0,0,1,1,1,1
0.470588,0.125,0,0,1,1,0,0,0.2,0,0.466667,1,0.846154,0.4,0,0,0.545455,0.434783,1,1,1,1,1
0.647059,0.75,1,0,0,1,0.214286,0.3,0.2,0,0.266667,0,0.923077,0.8,0.625,0,0,0.304348,0,1,1,1,1
0.529412,0.125,0,0,0,1,0,0,0.2,0,0.266667,0,0.230769,0.4,0,0,0,0.217391,1,1,1,1,1
0.764706,0.375,0,0,1,0,0,0,0.2,0,0.866667,1,0.153846,0,0,0,0.318182,0,1,1,0,0,1
0.235294,1,1,0,1,1,0.214286,0.3,0.2,0,0.6,1,0.692308,0.5,0.666667,0,0.318182,0.695652,0,1,1,1,1
0.588235,0.25,1,0,0,0,0.071429,0.4,0.2,0,0.266667,0,0.153846,0,0.458333,0,0,0,0,1,1,1,1
0.529412,0.125,1,0,0,1,0.214286,0.4,0.2,0,0.266667,0,0.461538,0.2,0.375,0,0,0.173913,1,1,1,1,1
0.705882,0.25,0,0,1,0,0,0,0.2,0,0.733333,1,0.153846,0,0,0,0.5,0,0,1,1,1,1
0.117647,0.75,1,0,0,0,0,0.8,0.2,0,0.266667,0,0.153846,0,0.166667,0,0,0,0,1,1,1,1
0.764706,0.625,1,0,0,1,0.571429,0.5,0.2,0,0.266667,0,1,0.8,0.458333,0,0,0.304348,1,1,1,1,1
0.529412,0.875,0,0,1,0,0,0,0.2,0,0.133333,1,0.153846,0,0,0,0.454545,0,1,1,1,0,1
0.764706,0.625,0,0,0,1,0,0,0.2,0,0.266667,0,0.846154,0.6,0,0,0,0.217391,1,1,1,1,1
0.529412,0.25,1,0,0,0,0,0.3,0.2,0,0.266667,0,0.153846,0,0.5,0,0,0,1,1,1,1,1
0.235294,0.875,1,0,1,1,0.428571,0.4,0.2,0,0.6,1,0.538462,0.7,0.458333,0,0.363636,0.478261,1,1,1,0,1
0.411765,0.375,1,0,0,0,0,0.7,0.2,0,0.266667,0,0.153846,0,0.458333,0,0,0,1,1,1,0,1
0.411765,0.5,0,0,1,1,0,0,0.2,0,0.6,0.8,0.769231,0.3,0,0,0.272727,0.521739,1,1,1,1,1
0.411765,0.625,1,0,1,1,0.285714,0.4,0.2,0,0.666667,1,0.846154,0.7,0.333333,0,0.363636,0.521739,1,1,1,1,1
0.235294,0.875,1,1,0,1,0.714286,0.4,0.7,0.6,0.266667,0,0.692308,0.5,0.541667,0.727273,0,0.652174,1,1,1,0,1
0.235294,0.875,1,0,1,1,0.5,0.3,0.2,0,0.333333,1,0.615385,0.6,0.458333,0,0.181818,0.565217,1,1,1,0,1
0.529412,0.5,0,0,0,1,0,0,0.2,0,0.266667,0,1,0.7,0,0,0,0.565217,1,1,0,1,1
0.411765,0.125,1,0,0,0,0.142857,0.2,0.2,0,0.266667,0,0.153846,0,0.333333,0,0,0,1,1,1,1,1
0.235294,0.875,1,0,0,1,0.428571,0.3,0.2,0,0.266667,0,0.692308,0.8,0.5,0,0,0.521739,1,1,1,0,1
0.294118,0.625,1,0,1,1,0.285714,0.3,0.2,0,0.466667,1,0.615385,0.7,0.458333,0,0.318182,0.478261,1,1,1,1,1
0.058824,0.75,1,1,1,1,0.357143,0.4,0.6,0.8,0.466667,1,0.615385,0.6,0.5,0.636364,0.454545,0.652174,0,1,1,1,1
0.470588,0.625,0,0,1,1,0,0,0.2,0,0.733333,1,0.692308,0.3,0,0,0.363636,0.478261,1,1,1,1,1
0.764706,0.75,0,0,1,0,0,0,0.2,0,0.266667,1,0.153846,0,0,0,0.590909,0,1,1,1,1,1
0.470588,0.125,1,0,0,0,0.285714,0.4,0.2,0,0.266667,0,0.153846,0,0.291667,0,0,0,1,1,1,1,1
0.411765,0.5,0,0,1,1,0,0,0.2,0,0.266667,1,0.615385,0.2,0,0,0.409091,0.478261,1,1,1,1,1
0.764706,0.25,1,0,0,0,0.142857,0.4,0.2,0,0.266667,0,0.153846,0,0.541667,0,0,0,1,1,1,1,1
0.823529,0.125,0,0,1,0,0,0,0.2,0,0.8,1,0.153846,0,0,0,0.5,0,1,1,1,1,1
0.235294,0.875,1,1,1,1,0.571429,0.2,0.5,1,0.6,0.9,0.769231,0.2,0.541667,0.363636,0.409091,0.826087,1,1,1,0,1
0.235294,1,1,0,1,1,0.571429,0.2,0.2,0,0.4,1,0.692308,0.2,0.583333,0,0.181818,0.826087,0,1,1,1,1
0.470588,0.375,0,0,0,1,0,0,0.2,0,0.266667,0,0.538462,0.6,0,0,0,0.434783,1,1,1,1,1
0.588235,0.25,0,0,0,1,0,0,0.2,0,0.266667,0,0.923077,0.4,0,0,0,0.347826,0,1,1,1,1
0,1,1,1,1,1,0.357143,0.4,0.5,0.9,0.533333,1,0.692308,0.6,0.541667,0.727273,0.454545,0.826087,0,1,1,0,1
0,0.25,0,0,0,1,0,0,0.2,0,0.266667,0,0.769231,0.8,0,0,0,0.869565,1,1,1,0,1
0.529412,0.875,1,0,1,1,0.357143,0.3,0.2,0,0.466667,1,0.615385,0.3,0.5,0,0.227273,0.478261,1,1,1,0,1
0,1,1,1,1,1,0.428571,0.3,0.5,0.8,0.4,1,0.692308,0.6,0.625,0.818182,0.363636,0.826087,0,1,1,0,1
0.352941,0.125,0,0,0,1,0,0,0.2,0,0.266667,0,0.538462,0.4,0,0,0,0.347826,1,1,1,1,1
0.529412,0.375,0,0,1,1,0,0,0.2,0,0.666667,1,0.692308,0.2,0,0,0.363636,0.391304,1,1,0,1,1
0.764706,1,0,0,1,0,0,0,0.2,0,0.333333,1,0.153846,0,0,0,0.454545,0,0,1,1,1,1
0.294118,0.75,1,0,1,1,0.285714,0.3,0.2,0,0.466667,1,0.615385,0.2,0.5,0,0.272727,0.652174,1,1,1,1,1
0.529412,0.625,0,0,0,1,0,0,0.2,0,0.266667,0,0.615385,0.7,0,0,0,0.304348,1,1,0,1,1
0.352941,0.25,0,0,0,1,0,0,0.2,0,0.266667,0,0.769231,1,0,0,0,0.695652,0,1,1,1,1
0.235294,0.875,1,1,1,1,0.357143,0.4,0.3,1,0.4,1,0.846154,0.6,0.5,0.363636,0.227273,0.695652,1,1,1,0,1
0.235294,0.875,1,1,0,1,0.642857,0.2,0.6,1,0.266667,0,0.692308,0.9,0.583333,0.454545,0,0.565217,1,1,1,0,1
0.411765,0.625,1,0,0,0,0,0.7,0.2,0,0.266667,0,0.153846,0,0.375,0,0,0,1,1,1,1,1
0.235294,0.875,1,0,1,1,0.285714,0.3,0.2,0,0.466667,1,0.615385,0.8,0.583333,0,0.272727,0.478261,1,1,1,0,1
0.411765,0.25,1,0,0,0,0.357143,0.4,0.2,0,0.266667,0,0.153846,0,0.166667,0,0,0,1,1,1,1,1
1,0.625,0,0,0,1,0,0,0.2,0,0.266667,0,0.923077,0.7,0,0,0,0.130435,1,1,0,1,1
0.529412,0.875,1,0,1,1,0.071429,0.4,0.2,0,0.666667,1,0.538462,0.8,0.625,0,0.181818,0.217391,1,1,1,0,1
0.235294,0.875,1,0,1,1,0.428571,0.3,0.2,0,0.133333,1,0.769231,0.8,0.5,0,0.227273,0.565217,1,1,1,0,1
0.647059,0.75,0,0,0,1,0,0,0.2,0,0.266667,0,0.692308,0.8,0,0,0,0.173913,0,1,1,1,1
0.235294,0.875,1,1,1,1,0.428571,0.4,0.5,0.9,0.6,1,0.846154,0.3,0.458333,0.272727,0.363636,0.826087,1,1,1,0,1
0.764706,1,0,0,1,0,0,0,0.2,0,0.333333,1,0.153846,0,0,0,0.454545,0,0,1,1,1,1
0.705882,0.125,0,0,0,1,0,0,0.2,0,0.266667,0,0.923077,0.2,0,0,0,0.304348,1,1,1,0,1
0.235294,0.875,1,1,1,1,0.357143,0.3,0.3,1,0.6,0.9,0.692308,0.5,0.541667,0.363636,0.409091,0.652174,1,1,1,0,1
1,0.25,0,0,0,1,0,0,0.2,0,0.266667,0,0.923077,0.4,0,0,0,0.130435,1,1,0,1,1
0,0.75,1,1,1,1,0.357143,0.4,0.5,0.8,0.666667,1,0.692308,0.5,0.458333,0.636364,0.636364,0.782609,1,1,1,0,1
0.235294,0.25,1,0,0,0,0,0.3,0.2,0,0.266667,0,0.153846,0,0.291667,0,0,0,0,1,1,1,1
0.235294,0.875,1,1,1,1,0.285714,0.4,0.6,1,0.266667,1,0.615385,0.3,0.541667,0.454545,0.136364,0.695652,1,1,1,0,1
0.764706,0.625,0,0,1,0,0,0,0.2,0,0.266667,0.9,0.153846,0,0,0,0.590909,0,1,1,1,1,1
0.470588,0.625,0,0,0,1,0,0,0.2,0,0.266667,0,0.846154,0.7,0,0,0,0.478261,1,1,1,1,1
0.529412,0.75,0,0,0,1,0,0,0.2,0,0.266667,0,0.615385,0.7,0,0,0,0.26087,1,1,1,1,1
0.529412,0.25,1,0,0,0,0,0.3,0.2,0,0.266667,0,0.153846,0,0.5,0,0,0,1,1,1,1,1
0.588235,0.25,0,0,0,1,0,0,0.2,0,0.266667,0,0.692308,0.2,0,0,0,0.304348,0,1,1,1,1
0.294118,0.75,0,0,0,1,0,0,0.2,0,0.266667,0,0.692308,0.9,0,0,0,0.478261,1,1,1,1,1
0.294118,0.25,0,0,1,1,0,0,0.2,0,0.6,0.9,0.615385,0.4,0,0,0.5,0.391304,0,1,1,1,1
0.764706,0.625,1,0,0,1,0.142857,0.4,0.2,0,0.266667,0,0.538462,0.6,0.666667,0,0,0.217391,1,1,1,1,1
0.411765,0.25,1,0,0,1,0.357143,0.4,0.2,0,0.266667,0,0.692308,0.6,0.166667,0,0,0.434783,1,1,1,1,1
0,1,1,1,1,1,0.357143,0.4,0.5,0.9,0.6,1,0.692308,0.5,0.541667,0.727273,0.5,0.869565,0,1,1,0,1
0.411765,0.75,0,0,1,1,0,0,0.2,0,0.8,1,0.846154,0.6,0,0,0.409091,0.521739,0,1,1,1,1
0.764706,0.625,0,0,0,1,0,0,0.2,0,0.266667,0,0.846154,0.7,0,0,0,0.173913,1,1,1,1,1
0.235294,0.25,0,0,0,1,0,0,0.2,0,0.266667,0,0.846154,0.4,0,0,0,0.565217,0,1,1,1,1
0.235294,0.875,1,1,1,1,0.357143,0.3,0.5,0.9,0.6,0.8,0.615385,0.8,0.541667,0.272727,0.363636,0.478261,1,1,1,0,1
0.411765,0.5,0,0,1,1,0,0,0.2,0,0.666667,1,0.769231,0.7,0,0,0.409091,0.521739,1,1,1,1,1
0.235294,0.875,1,1,1,1,0.357143,0.2,0.8,0.8,0.333333,0.8,0.692308,0.8,0.583333,0.636364,0.181818,0.521739,1,1,1,0,1
0.529412,0.75,0,0,1,0,0,0,0.2,0,0.2,1,0.153846,0,0,0,0.454545,0,1,1,1,1,1
0.235294,0.875,1,1,1,1,0.428571,0.4,0.5,1,0.466667,1,0.538462,0.6,0.458333,0.363636,0.272727,0.521739,1,1,1,0,1
0.470588,0.125,1,0,0,0,0.357143,0.2,0.2,0,0.266667,0,0.153846,0,0.25,0,0,0,1,1,1,1,1
0.294118,1,1,0,1,1,0.357143,0.3,0.2,0,0.8,1,0.538462,0.7,0.541667,0,0.409091,0.478261,0,1,1,1,1
0.411765,0.375,0,0,1,1,0,0,0.2,0,0.6,1,0.769231,0.6,0,0,0.409091,0.521739,1,1,1,0,1
0.764706,0.125,0,0,0,1,0,0,0.2,0,0.266667,0,0.846154,0.3,0,0,0,0.173913,1,1,1,1,1
0.058824,0.75,1,1,1,1,0.5,0.3,0.8,0.7,0.266667,0.9,0.692308,0.7,0.541667,0.909091,0.272727,0.652174,0,1,1,1,1
0.294118,0.25,1,0,0,0,0.071429,0.4,0.2,0,0.266667,0,0.153846,0,0.25,0,0,0,0,1,1,1,1
0.235294,1,1,0,1,1,0.285714,0.2,0.2,0,0.6,1,0.615385,0.4,0.666667,0,0.318182,0.695652,0,1,1,1,1
0.764706,0.625,0,0,1,0,0,0,0.2,0,0.866667,0.9,0.153846,0,0,0,0.181818,0,1,1,1,1,1
0.352941,0.75,1,0,1,1,0.357143,0.3,0.2,0,0.666667,1,0.769231,0.7,0.416667,0,0.363636,0.478261,0,1,1,1,1
0.411765,0.625,0,0,1,1,0,0,0.2,0,0.733333,1,0.923077,0.6,0,0,0.409091,0.608696,1,1,1,1,1
1,0.375,0,0,0,1,0,0,0.2,0,0.266667,0,0.923077,0.6,0,0,0,0.173913,1,1,0,0,1
0.764706,0.5,0,0,0,1,0,0,0.2,0,0.266667,0,1,0.6,0,0,0,0.26087,1,1,1,1,1
0.411765,0.5,0,0,1,1,0,0,0.2,0,0.6,0.8,0.769231,0.3,0,0,0.272727,0.521739,1,1,1,1,1
0.411765,0.25,0,0,0,1,0,0,0.2,0,0.266667,0,0.615385,0.4,0,0,0,0.304348,1,1,1,1,1
0.764706,0.125,1,0,0,1,0.357143,0.4,0.2,0,0.266667,0,0.923077,0.2,0.458333,0,0,0.26087,1,1,1,1,1
0.352941,0.125,1,0,1,0,0.285714,0.2,0.2,0,0.133333,1,0.153846,0,0.208333,0,0.681818,0,1,1,1,1,1
0.235294,0.875,1,1,0,1,0.357143,0.4,0.5,0.9,0.266667,0,0.846154,0.3,0.5,0.272727,0,0.826087,1,1,1,0,1
0.411765,0.625,1,0,1,1,0.642857,0.6,0.2,0,0.733333,1,0.461538,0.2,0.208333,0,0.409091,0.434783,1,1,1,1,1
0.235294,0.875,1,0,1,1,0.214286,0.3,0.2,0,0.333333,1,0.846154,0.4,0.625,0,0.181818,0.782609,1,1,1,0,1
0,1,1,1,1,1,0.428571,0.4,0.5,1,0.4,1,0.692308,0.4,0.583333,0.636364,0.363636,0.913043,0,1,1,0,1
0.294118,0.75,1,0,1,1,0.642857,0.5,0.2,0,0.4,1,0.615385,0.3,0.375,0,0.227273,0.608696,1,1,1,1,1
0.764706,0.75,1,0,0,1,0.214286,0.2,0.2,0,0.266667,0,0.923077,0.8,0.75,0,0,0.217391,1,1,1,1,1
0.411765,0.75,1,0,0,1,0.285714,0.3,0.2,0,0.266667,0,0.307692,0.8,0.416667,0,0,0.130435,0,1,1,1,1
0.294118,0.25,1,0,0,1,0.214286,0.3,0.2,0,0.266667,0,1,0.3,0.208333,0,0,0.652174,0,1,1,1,1
0.529412,0.625,0,0,0,1,0,0,0.2,0,0.266667,0,0.846154,0.7,0,0,0,0.434783,1,1,0,1,1
0.529412,1,0,0,0,1,0,0,0.2,0,0.266667,0,0.769231,1,0,0,0,0.304348,0,1,1,1,1
0.647059,0.75,0,0,0,1,0,0,0.2,0,0.266667,0,0.692308,0.8,0,0,0,0.173913,0,1,1,1,1
0.647059,0.75,1,0,0,1,0.571429,0.5,0.2,0,0.266667,0,0.923077,0.3,0.333333,0,0,0.521739,0,1,1,1,1
0.764706,0.375,0,0,0,1,0,0,0.2,0,0.266667,0,0.692308,0.9,0,0,0,0.26087,1,1,0,0,1
0,0.375,0,0,0,1,0,0,0.2,0,0.266667,0,0.692308,0.8,0,0,0,0.782609,1,1,0,0,1
0.235294,0.75,1,0,1,1,0.285714,0.3,0.2,0,0.6,1,0.615385,0.2,0.541667,0,0.409091,0.695652,1,1,1,1,1
0.294118,0.125,1,0,0,1,0.214286,0.2,0.2,0,0.266667,0,0.923077,0.7,0.208333,0,0,0.73913,1,1,1,1,1
0.529412,0.375,0,0,0,1,0,0,0.2,0,0.266667,0,0.230769,0.4,0,0,0,0.217391,1,1,0,1,1
0.352941,0.25,1,0,0,1,0.142857,0.4,0.2,0,0.266667,0,0.769231,0.3,0.25,0,0,0.478261,0,1,1,1,1
0.235294,0.75,1,0,1,1,0.285714,0.3,0.2,0,0.8,1,0.769231,0.3,0.541667,0,0.545455,0.73913,1,1,1,1,1
0.529412,0.125,1,0,0,1,0.142857,0.4,0.2,0,0.266667,0,0.461538,0.4,0.416667,0,0,0.173913,1,1,1,1,1
0.764706,0.375,0,0,1,0,0,0,0.2,0,0.933333,0.6,0.153846,0,0,0,0.181818,0,1,1,0,0,1
0.352941,0.625,1,1,1,1,0.142857,0.4,0.9,0.7,0.666667,0.8,0.692308,0.6,0.458333,0.454545,0.318182,0.521739,1,1,1,1,1
0.764706,0.25,0,0,1,1,0,0,0.2,0,0.6,0.7,0.846154,0.4,0,0,0.409091,0.173913,1,1,1,1,1
0.235294,0.875,1,1,0,1,0.642857,0.2,0.6,1,0.266667,0,0.692308,0.9,0.583333,0.454545,0,0.565217,1,1,1,0,1
0.352941,0.25,1,0,0,0,0.142857,0.4,0.2,0,0.266667,0,0.153846,0,0.25,0,0,0,0,1,1,1,1
0.764706,0.625,0,0,0,1,0,0,0.2,0,0.266667,0,0.846154,0.8,0,0,0,0.217391,1,1,1,1,1
0,0.75,1,1,1,1,0.571429,0.5,0.5,0.8,0.466667,1,0.692308,0.4,0.541667,0.636364,0.5,0.826087,1,1,1,0,1
0.411765,0.75,0,0,1,1,0,0,0.2,0,0.8,1,0.846154,0.6,0,0,0.409091,0.521739,0,1,1,1,1
0.117647,0.625,1,1,1,1,0.571429,0.2,0.6,0.7,0.266667,0.9,0.692308,0.4,0.541667,0.545455,0.272727,0.695652,1,1,1,1,1
0.411765,0.75,0,0,0,1,0,0,0.2,0,0.266667,0,0.692308,1,0,0,0,0.434783,0,1,1,1,1
0.058824,0.75,1,1,1,1,0.357143,0.4,0.6,0.8,0.466667,1,0.615385,0.6,0.5,0.636364,0.454545,0.652174,0,1,1,1,1
0.529412,1,1,0,1,1,0.285714,0.2,0.2,0,0.666667,1,0.923077,0.3,0.625,0,0.136364,0.695652,0,1,1,1,1
0.764706,0.25,1,0,0,0,0.142857,0.4,0.2,0,0.266667,0,0.153846,0,0.541667,0,0,0,1,1,1,1,1
0.411765,0.25,0,0,0,1,0,0,0.2,0,0.266667,0,0.846154,0.3,0,0,0,0.478261,1,1,1,1,1
1,0.75,0,0,1,0,0,0,0.2,0,0.2,1,0.153846,0,0,0,0.818182,0,1,1,0,1,1
0.294118,0.875,1,0,1,1,0.142857,0.3,0.2,0,0.6,1,0.692308,0.4,0.625,0,0.318182,0.652174,1,1,0,1,1
0.117647,0.625,1,1,1,1,0.428571,0.2,0.7,0.7,0.6,1,0.692308,0.5,0.541667,0.636364,0.545455,0.73913,1,1,1,1,1
0.764706,0.125,1,0,0,0,0.5,0.2,0.2,0,0.266667,0,0.153846,0,0.458333,0,0,0,1,1,1,1,1
0.294118,0.875,1,0,1,1,0.357143,0.3,0.2,0,0.4,1,0.615385,0.4,0.5,0,0.181818,0.608696,1,1,0,1,1
0.176471,0.625,1,1,1,1,0.357143,0.4,0.5,0.7,0.6,1,0.923077,0.4,0.458333,0.363636,0.5,0.782609,1,1,1,1,1
1,0.375,0,0,0,1,0,0,0.2,0,0.266667,0,0.923077,0.6,0,0,0,0.173913,1,1,0,0,1
0.294118,0.75,1,0,1,1,0.642857,0.7,0.2,0,0.666667,0.8,0.615385,0.3,0.291667,0,0.318182,0.608696,1,1,1,1,1
0.588235,0.875,1,0,1,1,0,0.5,0.2,0,0.8,1,0.538462,0.6,0.666667,0,0.227273,0.26087,1,1,0,1,1
0.294118,0.125,0,0,0,1,0,0,0.2,0,0.266667,0,0.692308,0.5,0,0,0,0.521739,1,1,1,1,1
0.235294,0.875,1,0,1,1,0.357143,0.2,0.2,0,0.466667,1,0.692308,0.7,0.583333,0,0.272727,0.565217,1,1,1,0,1
0.411765,0.625,0,0,1,1,0,0,0.2,0,0.333333,1,0.923077,0.3,0,0,0.318182,0.652174,1,1,1,1,1
0.529412,0.875,0,0,1,0,0,0,0.2,0,0.133333,1,0.153846,0,0,0,0.454545,0,1,1,1,0,1
0.470588,0.625,1,1,1,1,0.071429,0.4,0.9,0.8,0.666667,1,0.692308,0.7,0.5,0.363636,0.318182,0.391304,1,1,1,1,1
0.882353,0.125,1,0,0,0,0.285714,0.3,0.2,0,0.266667,0,0.153846,0,0.625,0,0,0,1,1,1,1,1
